,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree,q_mvar
0,0.51240625,0.008328125,0.02475,0.01248888888888889,0.01105128205128205,0.0024188034188034188
1,0.8346875,0.01578125,0.0555,0.025466666666666665,0.022222222222222223,0.005094017094017094
2,0.919,0.024734375,0.08575,0.041155555555555556,0.035222222222222224,0.007811965811965812
3,0.98925,0.03375,0.117625,0.056666666666666664,0.0482991452991453,0.011042735042735043
4,1.0,0.044234375,0.14425,0.07002222222222222,0.06099145299145299,0.013623931623931624
5,1.0,0.05375,0.168375,0.07877777777777778,0.07121367521367522,0.016444444444444446
6,1.0,0.063390625,0.1915,0.08471111111111111,0.08035042735042736,0.01941025641025641
7,1.0,0.071328125,0.215125,0.0872,0.08726495726495727,0.021735042735042735
8,1.0,0.077328125,0.231,0.08844444444444445,0.09211111111111112,0.02422222222222222
9,1.0,0.08265625,0.2405,0.08884444444444445,0.09582905982905983,0.026247863247863247
10,1.0,0.08903125,0.245875,0.08888888888888889,0.0997008547008547,0.028478632478632478
11,1.0,0.095984375,0.24875,0.08888888888888889,0.1037008547008547,0.030487179487179487
12,1.0,0.10340625,0.252875,0.08895555555555555,0.10806837606837606,0.03247008547008547
13,1.0,0.113015625,0.2595,0.08904444444444444,0.11381196581196582,0.03452991452991453
14,1.0,0.1230625,0.271125,0.08933333333333333,0.12021367521367521,0.03643589743589744
15,1.0,0.13353125,0.28775,0.09022222222222222,0.1274188034188034,0.043145299145299146
16,1.0,0.14459375,0.30675,0.09324444444444445,0.13593162393162392,0.04717948717948718
17,1.0,0.157953125,0.329625,0.10042222222222222,0.14756410256410257,0.049623931623931625
18,1.0,0.17284375,0.347875,0.11146666666666667,0.1612051282051282,0.051299145299145296
19,1.0,0.188828125,0.36175,0.12377777777777778,0.17563247863247863,0.05303418803418804
20,1.0,0.205515625,0.36825,0.13733333333333334,0.1904188034188034,0.05507692307692308
21,1.0,0.22009375,0.371625,0.14995555555555556,0.2034786324786325,0.057102564102564105
22,1.0,0.232640625,0.374,0.16277777777777777,0.21543589743589744,0.05971794871794872
23,1.0,0.243203125,0.37675,0.17335555555555557,0.22547008547008546,0.06263247863247863
24,1.0,0.25190625,0.382,0.18217777777777777,0.23398290598290597,0.06762393162393163
25,1.0,0.258484375,0.38975,0.18864444444444445,0.2405982905982906,0.07306837606837607
26,1.0,0.2644375,0.400375,0.19433333333333333,0.24676923076923077,0.07608547008547009
27,1.0,0.268890625,0.412125,0.19828888888888888,0.2515299145299145,0.07954700854700855
28,1.0,0.272921875,0.424,0.2018888888888889,0.25593162393162394,0.08315384615384615
29,1.0,0.276765625,0.4385,0.20544444444444446,0.2603931623931624,0.08642735042735043
