,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree,q_mvar
0,0.66853125,0.013703125,0.0615,0.014888888888888889,0.017427350427350427,0.004487179487179487
1,0.868203125,0.0269375,0.121,0.032044444444444445,0.035333333333333335,0.008794871794871794
2,0.97265625,0.0405,0.172,0.047622222222222226,0.05223076923076923,0.013136752136752137
3,0.99996875,0.051859375,0.2115,0.06146666666666667,0.06647008547008547,0.01711965811965812
4,1.0,0.060984375,0.23375,0.07262222222222223,0.07727350427350427,0.02105982905982906
5,1.0,0.068875,0.242875,0.08004444444444445,0.08506837606837607,0.02504273504273504
6,1.0,0.07490625,0.24725,0.08457777777777778,0.0904102564102564,0.029538461538461538
7,1.0,0.080390625,0.2495,0.08724444444444444,0.09458974358974359,0.03435897435897436
8,1.0,0.0855,0.25,0.08842222222222222,0.09787179487179487,0.03917094017094017
9,1.0,0.091703125,0.25,0.08868888888888889,0.10136752136752136,0.0439059829059829
10,1.0,0.0986875,0.25,0.08888888888888889,0.10526495726495727,0.049478632478632475
11,1.0,0.10671875,0.25,0.08893333333333334,0.10967521367521367,0.057444444444444444
12,1.0,0.115984375,0.25,0.08897777777777778,0.11476068376068375,0.06224786324786325
13,1.0,0.125640625,0.25,0.08911111111111111,0.1200940170940171,0.06658119658119659
14,1.0,0.135328125,0.250625,0.08942222222222222,0.12555555555555556,0.07065811965811966
15,1.0,0.144796875,0.252,0.09026666666666666,0.13115384615384615,0.07531623931623932
16,1.0,0.154578125,0.257,0.09284444444444444,0.13783760683760685,0.0798034188034188
17,1.0,0.165203125,0.26575,0.09808888888888889,0.14626495726495725,0.08374358974358974
18,1.0,0.178015625,0.281375,0.10704444444444444,0.1577863247863248,0.0872051282051282
19,1.0,0.19234375,0.298375,0.11868888888888889,0.17126495726495727,0.09064102564102564
20,1.0,0.20578125,0.319875,0.131,0.18482051282051282,0.09443589743589743
21,1.0,0.21978125,0.34025,0.1443111111111111,0.198991452991453,0.09769230769230769
22,1.0,0.232328125,0.355375,0.15704444444444443,0.21178632478632478,0.10133333333333333
23,1.0,0.24234375,0.3655,0.1688,0.22247863247863248,0.10592307692307693
24,1.0,0.250796875,0.372,0.17931111111111112,0.2315897435897436,0.11022222222222222
25,1.0,0.25784375,0.37775,0.18653333333333333,0.23861538461538462,0.11411111111111111
26,1.0,0.26284375,0.385875,0.1926,0.24423931623931625,0.11853846153846154
27,1.0,0.26634375,0.39625,0.19762222222222223,0.2487948717948718,0.12242735042735042
28,1.0,0.2688125,0.408125,0.20137777777777777,0.2524017094017094,0.12704273504273506
29,1.0,0.27121875,0.4205,0.205,0.25595726495726495,0.1326068376068376
30,1.0,0.2738125,0.43525,0.20935555555555554,0.26005982905982905,0.13780341880341881
31,1.0,0.276765625,0.44825,0.21422222222222223,0.26443589743589746,0.1421111111111111
32,1.0,0.280828125,0.46275,0.21964444444444445,0.26973504273504273,0.1463076923076923
33,1.0,0.28571875,0.475,0.2252888888888889,0.2754188034188034,0.15066666666666667
34,1.0,0.2908125,0.48675,0.2316888888888889,0.28147008547008545,0.15605128205128205
35,1.0,0.296234375,0.499,0.2384888888888889,0.2878888888888889,0.16335897435897437
36,1.0,0.3025,0.5105,0.24662222222222221,0.29523076923076924,0.1708888888888889
37,1.0,0.30878125,0.5245,0.2558888888888889,0.3031880341880342,0.177
38,1.0,0.31565625,0.537125,0.26504444444444447,0.31133333333333335,0.18145299145299146
39,1.0,0.323140625,0.551125,0.2743777777777778,0.319974358974359,0.1849230769230769
40,1.0,0.329875,0.56725,0.28353333333333336,0.3282820512820513,0.18799145299145298
41,1.0,0.3365625,0.583875,0.29344444444444445,0.3368888888888889,0.19116239316239317
42,1.0,0.343390625,0.603375,0.3032444444444444,0.3457264957264957,0.19446153846153846
43,1.0,0.34975,0.6225,0.3124,0.354034188034188,0.19727350427350426
44,1.0,0.35640625,0.6425,0.32155555555555554,0.36256410256410254,0.20075213675213674
45,1.0,0.362,0.664,0.33037777777777777,0.37048717948717946,0.20435042735042735
46,1.0,0.367515625,0.683875,0.34028888888888886,0.3786752136752137,0.2074017094017094
47,1.0,0.373765625,0.704,0.3494,0.386974358974359,0.210017094017094
48,1.0,0.378796875,0.724,0.35855555555555557,0.3946153846153846,0.21205982905982906
49,1.0,0.383734375,0.742875,0.3668222222222222,0.4017863247863248,0.21388034188034188
50,1.0,0.389046875,0.760875,0.37544444444444447,0.40923931623931625,0.2156068376068376
51,1.0,0.394,0.778,0.3833111111111111,0.41614529914529913,0.21747863247863247
52,1.0,0.398875,0.7945,0.3907777777777778,0.4228119658119658,0.21924786324786324
53,1.0,0.403875,0.810375,0.39868888888888887,0.42967521367521366,0.22094871794871795
54,1.0,0.408390625,0.822625,0.40695555555555557,0.43616239316239314,0.22255555555555556
55,1.0,0.41278125,0.835625,0.4152666666666667,0.44264957264957266,0.22404273504273503
56,1.0,0.417265625,0.84775,0.42231111111111114,0.44864102564102565,0.22575213675213676
57,1.0,0.421375,0.859875,0.42935555555555555,0.45442735042735044,0.22732478632478634
58,1.0,0.4254375,0.868125,0.4360888888888889,0.4598034188034188,0.2287179487179487
59,1.0,0.42925,0.87525,0.443,0.46503418803418806,0.23044444444444445
60,1.0,0.43303125,0.8835,0.4493333333333333,0.4701025641025641,0.2327179487179487
61,1.0,0.4365625,0.891,0.4559111111111111,0.47507692307692306,0.23522222222222222
62,1.0,0.439859375,0.89575,0.4623111111111111,0.4796666666666667,0.2378034188034188
63,1.0,0.44378125,0.901,0.46873333333333334,0.4846410256410256,0.24052136752136752
