,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree
0,0.169109375,0.01965625,0.002625,0.0009555555555555555,0.011299145299145299
1,0.28640625,0.04021875,0.005625,0.0033555555555555556,0.023675213675213674
2,0.550265625,0.062421875,0.014125,0.009333333333333334,0.0387008547008547
3,0.707,0.0839375,0.0305,0.01757777777777778,0.054760683760683763
4,0.81725,0.108046875,0.058625,0.027777777777777776,0.07379487179487179
5,0.859375,0.133984375,0.099125,0.03944444444444444,0.09523931623931624
6,0.925796875,0.1610625,0.150625,0.052422222222222224,0.11856410256410256
7,0.949640625,0.185109375,0.1915,0.06604444444444445,0.13975213675213674
8,0.961328125,0.206,0.22475,0.08062222222222222,0.15905982905982907
9,0.96875,0.224296875,0.241625,0.09637777777777778,0.1762820512820513
10,0.96875,0.239203125,0.249875,0.11495555555555556,0.19214529914529915
11,0.96875,0.251171875,0.2565,0.13153333333333334,0.20552136752136752
12,0.96875,0.259984375,0.27075,0.14564444444444444,0.21674358974358973
13,0.9735,0.266671875,0.292125,0.15702222222222223,0.22623931623931623
14,0.984375,0.272890625,0.32975,0.1653777777777778,0.23542735042735044
15,0.984375,0.279359375,0.3815,0.17477777777777778,0.2461196581196581
16,0.984375,0.2861875,0.44,0.1866,0.2584017094017094
17,0.984375,0.292984375,0.49525,0.20066666666666666,0.2713076923076923
18,0.984375,0.29978125,0.547125,0.21562222222222222,0.2843247863247863
19,0.984375,0.30590625,0.58875,0.23066666666666666,0.2963076923076923
20,0.984375,0.3115625,0.628375,0.24486666666666668,0.30757264957264957
21,0.984375,0.317453125,0.661625,0.2575777777777778,0.31795726495726495
22,0.984375,0.32284375,0.691375,0.2692888888888889,0.3274444444444444
23,0.984375,0.32890625,0.7225,0.28126666666666666,0.3374957264957265
24,0.984375,0.33475,0.750125,0.29335555555555554,0.34723076923076923
25,0.984375,0.340421875,0.77325,0.3043777777777778,0.35615384615384615
26,0.984375,0.34628125,0.794,0.31604444444444446,0.3652649572649573
27,0.984375,0.352140625,0.811125,0.32635555555555557,0.3736068376068376
28,0.984375,0.35775,0.827,0.33668888888888887,0.3817350427350427
29,0.984375,0.364125,0.8405,0.34786666666666666,0.3904444444444444
30,0.984375,0.370421875,0.849875,0.3587111111111111,0.3987008547008547
31,0.984375,0.377171875,0.858625,0.36906666666666665,0.40697435897435896
