,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree,q_mvar
0,0.660265625,0.01871875,0.003375,0.010377777777777777,0.014461538461538461,0.002871794871794872
1,0.844390625,0.0348125,0.013,0.021666666666666667,0.028264957264957265,0.005598290598290598
2,0.957484375,0.0480625,0.028375,0.03222222222222222,0.040623931623931624,0.008606837606837607
3,0.998109375,0.058375,0.05,0.04186666666666667,0.05145299145299145,0.011923076923076923
4,1.0,0.067828125,0.090625,0.051222222222222225,0.063,0.015025641025641025
5,1.0,0.076125,0.14225,0.05957777777777778,0.07428205128205129,0.01770940170940171
6,1.0,0.084390625,0.201875,0.0674,0.08588888888888889,0.020735042735042734
7,1.0,0.09371875,0.260375,0.07446666666666667,0.0977094017094017,0.028316239316239316
8,1.0,0.102765625,0.309125,0.08037777777777778,0.10826495726495726,0.03333333333333333
9,1.0,0.11240625,0.342875,0.0846,0.11747008547008547,0.037333333333333336
10,1.0,0.122203125,0.362125,0.08844444444444445,0.12562393162393162,0.04129059829059829
11,1.0,0.132125,0.370375,0.0932,0.13344444444444445,0.04551282051282051
12,1.0,0.14146875,0.373,0.09891111111111112,0.14093162393162392,0.04897435897435897
13,1.0,0.151359375,0.37425,0.10624444444444445,0.14924786324786324,0.051666666666666666
14,1.0,0.16103125,0.37475,0.1148,0.15786324786324787,0.05382051282051282
15,1.0,0.17203125,0.374875,0.12491111111111111,0.16777777777777778,0.05629059829059829
16,1.0,0.184890625,0.375,0.13584444444444443,0.17902564102564103,0.05868376068376068
17,1.0,0.199921875,0.375,0.1459111111111111,0.19111965811965811,0.06164957264957265
18,1.0,0.21434375,0.375,0.15611111111111112,0.20293162393162392,0.06614529914529914
19,1.0,0.2290625,0.375125,0.16695555555555555,0.21516239316239316,0.07045299145299146
20,1.0,0.2419375,0.375125,0.17602222222222222,0.2256923076923077,0.07388888888888889
21,1.0,0.252234375,0.37675,0.18426666666666666,0.23460683760683762,0.07705128205128205
22,1.0,0.260984375,0.37975,0.19102222222222223,0.2421965811965812,0.07986324786324786
23,1.0,0.267765625,0.3885,0.19697777777777778,0.2487948717948718,0.0827094017094017
24,1.0,0.272984375,0.40025,0.20115555555555556,0.25405982905982905,0.08407692307692308
25,1.0,0.277234375,0.416125,0.2051111111111111,0.258991452991453,0.08511965811965812
26,1.0,0.28096875,0.4345,0.20955555555555555,0.264,0.08620512820512821
27,1.0,0.284640625,0.453875,0.21435555555555555,0.2691794871794872,0.08728205128205128
28,1.0,0.288046875,0.475125,0.22053333333333333,0.27487179487179486,0.08855555555555555
29,1.0,0.29234375,0.4965,0.22697777777777778,0.28116239316239316,0.08998290598290598
30,1.0,0.29725,0.517625,0.23486666666666667,0.2883247863247863,0.09192307692307693
31,1.0,0.302375,0.54425,0.24282222222222222,0.296008547008547,0.09471794871794872
32,1.0,0.308546875,0.5715,0.2512,0.30447008547008547,0.09805128205128205
33,1.0,0.313890625,0.596125,0.2597333333333333,0.31235897435897436,0.10102564102564103
34,1.0,0.320328125,0.624625,0.26884444444444444,0.32133333333333336,0.10443589743589743
35,1.0,0.326359375,0.65225,0.2775111111111111,0.32985470085470087,0.1080940170940171
36,1.0,0.332625,0.679875,0.2870888888888889,0.3388547008547009,0.1117948717948718
37,1.0,0.338703125,0.70625,0.29606666666666664,0.3474358974358974,0.11476923076923078
38,1.0,0.34484375,0.730125,0.3051111111111111,0.3559059829059829,0.11725641025641026
