,load_vm_pu,load_va_deg,gen_va_deg,load_gen_va_deg,va_degree
0,0.152046875,0.0085625,0.017875,0.009244444444444444,0.009461538461538462
1,0.395125,0.017,0.038375,0.01757777777777778,0.018683760683760684
2,0.692390625,0.026671875,0.10275,0.027022222222222222,0.03200854700854701
3,0.887578125,0.036015625,0.183875,0.036555555555555556,0.04633333333333333
4,0.942078125,0.047234375,0.273125,0.0472,0.06266666666666666
5,0.961515625,0.058796875,0.31,0.05806666666666667,0.0756923076923077
6,0.964390625,0.072609375,0.345375,0.07137777777777778,0.09078632478632478
7,0.96609375,0.08834375,0.423,0.08651111111111111,0.11052136752136753
8,0.9685625,0.105890625,0.50875,0.10617777777777777,0.13354700854700854
9,0.97475,0.12640625,0.535,0.13548888888888888,0.15783760683760684
10,0.978328125,0.152203125,0.570875,0.1572888888888889,0.18278632478632478
11,0.978375,0.185625,0.6525,0.19624444444444444,0.22163247863247862
12,0.978421875,0.236734375,0.74225,0.23913333333333334,0.2722222222222222
13,0.978453125,0.288140625,0.7855,0.2873777777777778,0.32185470085470086
14,0.978453125,0.3393125,0.833125,0.34504444444444443,0.3752820512820513
15,0.978453125,0.4105,0.890375,0.4069111111111111,0.44193162393162394
16,0.978453125,0.5479375,0.901625,0.5065555555555555,0.5562051282051282
17,0.97846875,0.725140625,0.909625,0.6010222222222222,0.690017094017094
18,0.97846875,0.852546875,0.9175,0.6983555555555555,0.7976837606837607
19,0.97846875,0.908640625,0.92475,0.7696222222222222,0.8562735042735042
20,0.97846875,0.928484375,0.930375,0.8399111111111112,0.8945470085470085
21,0.97846875,0.935640625,0.93575,0.8835777777777778,0.9156239316239316
22,0.97846875,0.94028125,0.939625,0.9130444444444444,0.9297606837606838
23,0.97846875,0.943640625,0.9435,0.9356222222222222,0.9405470085470086
24,0.97846875,0.946796875,0.946875,0.9427111111111112,0.9452307692307692
25,0.97846875,0.949421875,0.9485,0.9469333333333333,0.9484017094017094
26,0.97846875,0.9516875,0.950125,0.9501777777777778,0.951
27,0.97846875,0.953390625,0.951375,0.9528666666666666,0.9530512820512821
28,0.97846875,0.95471875,0.952125,0.9552222222222222,0.9547350427350427
29,0.97846875,0.95603125,0.953375,0.9571777777777778,0.9562905982905983
30,0.97846875,0.95715625,0.95425,0.9589111111111112,0.9576324786324786
31,0.97846875,0.95803125,0.95525,0.9602666666666667,0.9587008547008548
32,0.97846875,0.958953125,0.95575,0.9616222222222223,0.9597606837606838
33,0.97846875,0.959828125,0.956375,0.9629555555555556,0.9607948717948718
34,0.97846875,0.960640625,0.956875,0.964,0.9616752136752137
35,0.97846875,0.961125,0.95775,0.9650666666666666,0.9624102564102565
36,0.97846875,0.961859375,0.958625,0.9657333333333333,0.9631282051282052
37,0.97846875,0.9623125,0.959125,0.9663333333333334,0.9636410256410256
38,0.97846875,0.962953125,0.9595,0.967,0.9642735042735042
39,0.97846875,0.963578125,0.96,0.9676222222222223,0.9648888888888889
40,0.978484375,0.963984375,0.96,0.9682666666666667,0.9653589743589743
41,0.978484375,0.964359375,0.96025,0.9687777777777777,0.9657777777777777
42,0.978484375,0.96484375,0.960625,0.9694,0.9663076923076923
43,0.978484375,0.9653125,0.961,0.9699555555555556,0.9668034188034188
44,0.978484375,0.96578125,0.9615,0.9704222222222222,0.9672735042735042
45,0.978484375,0.966265625,0.96175,0.9708888888888889,0.9677350427350427
46,0.978484375,0.96675,0.962,0.9711777777777778,0.9681282051282051
47,0.978484375,0.967171875,0.962125,0.9716222222222223,0.9685384615384616
48,0.9785,0.967734375,0.962375,0.9720222222222222,0.969017094017094
49,0.9785,0.96803125,0.9625,0.9725555555555555,0.9693931623931624
50,0.9785,0.96846875,0.96275,0.9728444444444444,0.9697606837606838
51,0.9785,0.969015625,0.962875,0.9734,0.9702820512820512
52,0.9785,0.969375,0.962875,0.9736666666666667,0.9705811965811966
53,0.9785,0.96978125,0.963125,0.9740222222222222,0.970957264957265
54,0.9785,0.97025,0.963125,0.9744666666666667,0.9713846153846154
55,0.9785,0.97065625,0.96325,0.9746,0.9716666666666667
56,0.9785,0.970890625,0.963375,0.9748888888888889,0.9719145299145299
57,0.9785,0.97121875,0.963375,0.9753111111111111,0.9722564102564103
58,0.9785,0.971546875,0.963375,0.9757777777777777,0.9726153846153847
59,0.9785,0.971859375,0.96375,0.9760666666666666,0.9729230769230769
60,0.9785,0.972140625,0.96375,0.9763111111111111,0.9731709401709402
61,0.9785,0.972390625,0.96375,0.9763777777777778,0.9733333333333334
62,0.9785,0.9726875,0.964125,0.9766444444444444,0.9736239316239316
63,0.9785,0.972890625,0.96425,0.9768666666666667,0.9738290598290599
64,0.9785,0.973109375,0.9645,0.9771111111111112,0.974059829059829
65,0.9785,0.973375,0.9645,0.9774,0.9743162393162393
66,0.9785,0.9735625,0.964625,0.9776,0.9745042735042735
67,0.9785,0.9738125,0.96475,0.9778,0.9747264957264957
68,0.9785,0.974125,0.964875,0.9780444444444445,0.975
69,0.9785,0.974390625,0.964875,0.9783111111111111,0.9752478632478633
70,0.9785,0.974765625,0.965,0.9784666666666667,0.9755213675213675
71,0.9785,0.974921875,0.965125,0.9785777777777778,0.9756581196581197
72,0.9785,0.975109375,0.965375,0.9788222222222223,0.9758717948717949
73,0.9785,0.97540625,0.965375,0.979,0.9761025641025641
74,0.9785,0.975609375,0.9655,0.9792,0.9762991452991453
75,0.9785,0.9758125,0.965625,0.9794222222222222,0.9765042735042735
76,0.9785,0.97609375,0.96575,0.9796,0.9767350427350427
